\\ Названия способностей: \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"ability_attribute_bonus"	"Бонус к атрибутам"

"ability_greevil_miniboss_blue_cold_feet"	"Cold Greevil Feet"
"[english]ability_greevil_miniboss_blue_cold_feet"	"Cold Greevil Feet"

"ability_greevil_miniboss_blue_cold_feet_Description"	"Пытается заморозить врага, в результате чего тот начинает получать периодической урон. Заклятие может быть развеяно, если цель выйдет из зоны действия; в противном случае через 4 секунды враг будет оглушен и приморожен к месту."
"[english]ability_greevil_miniboss_blue_cold_feet_Description"	"Places a frozen hex on an enemy unit that deals damage over time, but can be dispelled by moving away from the initial cast point.  If the enemy unit doesn't move outside of the given range, it will be stunned and frozen in place after 4 seconds."

"ability_greevil_miniboss_blue_cold_feet_damage"	"ПЕРИОДИЧЕСКИЙ УРОН:"
"[english]ability_greevil_miniboss_blue_cold_feet_damage"	"DAMAGE PER TICK:"

"ability_greevil_miniboss_blue_cold_feet_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"[english]ability_greevil_miniboss_blue_cold_feet_stun_duration"	"STUN DURATION:"

"ability_greevil_miniboss_blue_cold_feet_break_distance"	"РАССТОЯНИЕ РАЗВЕИВАНИЯ:"
"[english]ability_greevil_miniboss_blue_cold_feet_break_distance"	"BREAK DISTANCE:"

"ability_greevil_miniboss_blue_ice_vortex"	"Ice Greevortex"
"[english]ability_greevil_miniboss_blue_ice_vortex"	"Ice Greevortex"

"ability_greevil_miniboss_blue_ice_vortex_Description"	"Создает вихрь ледяной энергии, который замедляет скорость передвижения и понижает сопротивление магии в зоне действия в течение 12 секунд."
"[english]ability_greevil_miniboss_blue_ice_vortex_Description"	"Creates a vortex of icy energy that slows movement speed and increases magic damage done in its range.  Lasts 12 seconds."

"ability_greevil_miniboss_blue_ice_vortex_movement_speed_pct"	"%ЗАМЕДЛЕНИЕ:"
"[english]ability_greevil_miniboss_blue_ice_vortex_movement_speed_pct"	"%SLOW:"

"ability_greevil_miniboss_blue_ice_vortex_spell_resist_pct"	"%СНИЖЕНИЕ СОПРОТИВЛЕНИЯ:"
"[english]ability_greevil_miniboss_blue_ice_vortex_spell_resist_pct"	"%DECREASE RESIST:"

"ability_greevil_miniboss_blue_ice_vortex_radius"	"РАДИУС:"
"[english]ability_greevil_miniboss_blue_ice_vortex_radius"	"RADIUS:"

"ability_greevil_miniboss_red_earthshock"	"Greevilshock"
"[english]ability_greevil_miniboss_red_earthshock"	"Greevilshock"

"ability_greevil_miniboss_red_earthshock_Description"	"Бьет о землю, нанося урон всем вражеским юнитам неподалеку и замедляя их на 4 секунды."
"[english]ability_greevil_miniboss_red_earthshock_Description"	"Slams the earth, causing a powerful shock to damage and slow all enemy units in a nearby area for 4 seconds."

"ability_greevil_miniboss_red_earthshock_damage"	"УРОН:"
"[english]ability_greevil_miniboss_red_earthshock_damage"	"DAMAGE:"

"ability_greevil_miniboss_red_earthshock_movement_slow"	"%ЗАМЕДЛЕНИЕ:"
"[english]ability_greevil_miniboss_red_earthshock_movement_slow"	"%SLOW:"

"ability_greevil_miniboss_red_earthshock_shock_radius"	"РАДИУС:"
"[english]ability_greevil_miniboss_red_earthshock_shock_radius"	"RADIUS:"

"ability_greevil_miniboss_red_overpower"	"Greevilpower"
"[english]ability_greevil_miniboss_red_overpower"	"Greevilpower"

"ability_greevil_miniboss_red_overpower_Description"	"Увеличивает скорость атаки на несколько следующих атак."
"[english]ability_greevil_miniboss_red_overpower_Description"	"Gains increased attack speed for a number of subsequent attacks."

"ability_greevil_miniboss_red_overpower_max_attacks"	"АТАК:"
"[english]ability_greevil_miniboss_red_overpower_max_attacks"	"ATTACKS:"

"ability_greevil_miniboss_red_overpower_attack_speed_bonus_pct"	"ДОП. СКОРОСТЬ:"
"[english]ability_greevil_miniboss_red_overpower_attack_speed_bonus_pct"	"BONUS SPEED:"

"ability_greevil_miniboss_yellow_ion_shell"	"Greevil Shell"
"[english]ability_greevil_miniboss_yellow_ion_shell"	"Greevil Shell"

"ability_greevil_miniboss_yellow_ion_shell_Description"	"Окружает выбранную цель колючим щитом, наносящим урон всем врагам вокруг."
"[english]ability_greevil_miniboss_yellow_ion_shell_Description"	"Surrounds the target unit with a bristling shield that damages enemy units in an area around it."

"ability_greevil_miniboss_yellow_ion_shell_radius"	"РАДИУС:"
"[english]ability_greevil_miniboss_yellow_ion_shell_radius"	"RADIUS:"

"ability_greevil_miniboss_yellow_ion_shell_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_greevil_miniboss_yellow_ion_shell_duration"	"DURATION:"

"ability_greevil_miniboss_yellow_ion_shell_damage_per_second"	"УРОН В СЕКУНДУ:"
"[english]ability_greevil_miniboss_yellow_ion_shell_damage_per_second"	"DAMAGE PER SECOND:"

"ability_greevil_miniboss_yellow_surge"	"Greevil Surge"
"[english]ability_greevil_miniboss_yellow_surge"	"Greevil Surge"

"ability_greevil_miniboss_yellow_surge_Description"	"Заряжает дружественное существо энергией, ненадолго увеличивающей скорость передвижения до максимума."
"[english]ability_greevil_miniboss_yellow_surge_Description"	"Charges a target friendly unit with power, giving it a brief burst of maximum movement speed."

"ability_greevil_miniboss_yellow_surge_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_greevil_miniboss_yellow_surge_duration"	"DURATION:"

"ability_greevil_miniboss_white_purification"	"Greevilication"
"[english]ability_greevil_miniboss_white_purification"	"Greevilication"

"ability_greevil_miniboss_white_purification_Description"	"Мгновенно исцеляет союзное существо и наносит урон врагам вокруг него."
"[english]ability_greevil_miniboss_white_purification_Description"	"Instantly heals a friendly unit and damages all nearby enemy units."

"ability_greevil_miniboss_white_purification_heal"	"ЛЕЧЕНИЕ/УРОН:"
"[english]ability_greevil_miniboss_white_purification_heal"	"HEAL/DAMAGE:"

"ability_greevil_miniboss_white_purification_radius"	"РАДИУС:"
"[english]ability_greevil_miniboss_white_purification_radius"	"RADIUS:"

"ability_greevil_miniboss_white_degen_aura"	"Degreevil Aura"
"[english]ability_greevil_miniboss_white_degen_aura"	"Degreevil Aura"

"ability_greevil_miniboss_white_degen_aura_Description"	"Значительно снижает скорость передвижения и атаки врагов, осмелившихся подойти слишком близко."
"[english]ability_greevil_miniboss_white_degen_aura_Description"	"Greatly degenerates the movement and attack capabilities of enemy units that stray too near."

"ability_greevil_miniboss_white_degen_aura_radius"	"РАДИУС:"
"[english]ability_greevil_miniboss_white_degen_aura_radius"	"RADIUS:"

"ability_greevil_miniboss_white_degen_aura_speed_bonus"	"%ЗАМЕДЛЕНИЕ:"
"[english]ability_greevil_miniboss_white_degen_aura_speed_bonus"	"%SLOW:"

"ability_greevil_miniboss_sight"	"Greevil Sight"
"[english]ability_greevil_miniboss_sight"	"Greevil Sight"

"ability_greevil_miniboss_sight_Description"	"Зоркий глаз грявола видит всё!"
"[english]ability_greevil_miniboss_sight_Description"	"There is nothing the googly greevils eyes can't see!"

"ability_greevil_miniboss_purple_venomous_gale"	"Venomous Greevil Spit"
"[english]ability_greevil_miniboss_purple_venomous_gale"	"Venomous Greevil Spit"

"ability_greevil_miniboss_purple_venomous_gale_Description"	"Выплевывает в указанном направлении ядовитый шар, который наносит урон всем задетым врагам и отравляет их. Пораженные цели медленнее передвигаются, а также получают урон каждые 3 секунды действия способности."
"[english]ability_greevil_miniboss_purple_venomous_gale_Description"	"Launches a ball of venom in a line, poisoning enemy units so that they take both initial damage and damage over time, as well as suffering slowed movement.  Venomous Gale deals damage every 2 seconds over its duration."

"ability_greevil_miniboss_purple_venomous_gale_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_greevil_miniboss_purple_venomous_gale_duration"	"DURATION:"

"ability_greevil_miniboss_purple_venomous_gale_strike_damage"	"УРОН ОТ ПОПАДАНИЯ:"
"[english]ability_greevil_miniboss_purple_venomous_gale_strike_damage"	"STRIKE DAMAGE:"

"ability_greevil_miniboss_purple_venomous_gale_tick_damage"	"ПЕРИОДИЧЕСКИЙ УРОН:"
"[english]ability_greevil_miniboss_purple_venomous_gale_tick_damage"	"DAMAGE PER TICK:"

"ability_greevil_miniboss_purple_venomous_gale_movement_slow"	"%ЗАМЕДЛЕНИЕ:"
"[english]ability_greevil_miniboss_purple_venomous_gale_movement_slow"	"%SLOW:"

"ability_greevil_miniboss_purple_plague_ward"	"Greevil Ward"
"[english]ability_greevil_miniboss_purple_plague_ward"	"Greevil Ward"

"ability_greevil_miniboss_purple_plague_ward_Description"	"Призывает вард, атакующий вражеских существ и сооружения. Вард невосприимчив к магии."
"[english]ability_greevil_miniboss_purple_plague_ward_Description"	"Summons a  ward to attack enemy units and structures. The ward is immune to magic."

"ability_greevil_miniboss_purple_plague_ward_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_greevil_miniboss_purple_plague_ward_duration"	"DURATION:"

"ability_greevil_miniboss_purple_plague_ward_ward_hp_tooltip"	"ЗДОРОВЬЕ ВАРДА:"
"[english]ability_greevil_miniboss_purple_plague_ward_ward_hp_tooltip"	"WARD HP:"

"ability_greevil_miniboss_purple_plague_ward_ward_damage_tooltip"	"УРОН ВАРДА:"
"[english]ability_greevil_miniboss_purple_plague_ward_ward_damage_tooltip"	"WARD DAMAGE:"

"ability_greevil_miniboss_orange_dragon_slave"	"Greevil Dragon Breath"
"[english]ability_greevil_miniboss_orange_dragon_slave"	"Greevil Dragon Breath"

"ability_greevil_miniboss_orange_dragon_slave_Description"	"Призывает дыхание дракона, сжигающее всех врагов на своем пути."
"[english]ability_greevil_miniboss_orange_dragon_slave_Description"	"Channels the breath of a dragon, sending out a wave of fire that scorches every enemy in its path."

"ability_greevil_miniboss_orange_light_strike_array"	"Greevil Light Strike"
"[english]ability_greevil_miniboss_orange_light_strike_array"	"Greevil Light Strike"

"ability_greevil_miniboss_orange_light_strike_array_Description"	"Призывает столб пламени, который оглушает врагов и наносит им урон."
"[english]ability_greevil_miniboss_orange_light_strike_array_Description"	"Summons a column of flames that damages and stuns enemies."

"ability_greevil_miniboss_orange_light_strike_array_aoe"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
"[english]ability_greevil_miniboss_orange_light_strike_array_aoe"	"RADIUS:"

"ability_greevil_miniboss_orange_light_strike_array_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"[english]ability_greevil_miniboss_orange_light_strike_array_stun_duration"	"STUN DURATION:"

"ability_greevil_miniboss_orange_light_strike_array_delay_time"	"ЗАДЕРЖКА:"
"[english]ability_greevil_miniboss_orange_light_strike_array_delay_time"	"CAST DELAY:"

"ability_greevil_miniboss_green_living_armor"	"Greeviling Armor"
"[english]ability_greevil_miniboss_green_living_armor"	"Greeviling Armor"

"ability_greevil_miniboss_green_living_armor_Description"	"Защищает цель защитной аурой, увеличивающей регенерацию здоровья. Также дает защиту от физических атак для героев. Заклинание спадает при получении некоторого количества ударов."
"[english]ability_greevil_miniboss_green_living_armor_Description"	"Infuses the target with a protective coating which grants bonus regeneration. Also grants physical damage block from damage from heroes. Dispels when a number of damage instances are taken."

"ability_greevil_miniboss_green_living_armor_damage_count"	"ВЫДЕРЖИВАЕТ АТАК:"
"[english]ability_greevil_miniboss_green_living_armor_damage_count"	"DAMAGE INSTANCES:"

"ability_greevil_miniboss_green_living_armor_health_regen"	"ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
"[english]ability_greevil_miniboss_green_living_armor_health_regen"	"REGEN:"

"ability_greevil_miniboss_green_living_armor_damage_block"	"БЛОКИРУЕТ:"
"[english]ability_greevil_miniboss_green_living_armor_damage_block"	"BLOCK:"

"ability_greevil_miniboss_green_living_armor_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_greevil_miniboss_green_living_armor_duration"	"DURATION:"

"ability_greevil_miniboss_green_overgrowth"	"Greevil Overgrowth"
"[english]ability_greevil_miniboss_green_overgrowth"	"Greevil Overgrowth"

"ability_greevil_miniboss_green_overgrowth_Description"	"Вокруг разрастаются корни и лозы, опутывая врагов и не давая им перемещаться, телепортироваться, уходить в невидимость или атаковать."
"[english]ability_greevil_miniboss_green_overgrowth_Description"	"Summons an overgrowth of vines and branches that prevent afflicted enemies from moving, blinking, going invisible, or attacking."

"ability_greevil_miniboss_green_overgrowth_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_greevil_miniboss_green_overgrowth_duration"	"DURATION:"

"ability_greevil_miniboss_green_overgrowth_radius"	"РАДИУС:"
"[english]ability_greevil_miniboss_green_overgrowth_radius"	"RADIUS:"

"ability_troll_warlord_whirling_axes_melee"	"Whirling Axes (ближний бой)"
"[english]ability_troll_warlord_whirling_axes_melee"	"Whirling Axes (Melee)"

"ability_troll_warlord_whirling_axes_melee_Description"	"Герой вращает два топора в небольшой области вокруг себя, нанося врагам урон и вынуждая их промахиваться атаками."
"[english]ability_troll_warlord_whirling_axes_melee_Description"	"Troll hurls two axes around him in a close range area of effect, damaging enemy units and causing them to miss some attacks."

"ability_troll_warlord_whirling_axes_melee_damage"	"УРОН:"
"[english]ability_troll_warlord_whirling_axes_melee_damage"	"DAMAGE:"

"ability_troll_warlord_whirling_axes_melee_max_range"	"РАДИУС:"
"[english]ability_troll_warlord_whirling_axes_melee_max_range"	"RADIUS:"

"ability_troll_warlord_whirling_axes_melee_blind_duration"	"ДЛИТЕЛЬНОСТЬ ПРОМАХОВ:"
"[english]ability_troll_warlord_whirling_axes_melee_blind_duration"	"BLIND DURATION:"

"ability_troll_warlord_whirling_axes_melee_blind_pct"	"%ШАНС ПРОМАХА:"
"[english]ability_troll_warlord_whirling_axes_melee_blind_pct"	"%MISS CHANCE:"

"ability_tusk_ice_shards"	"Ice Shards"
"[english]ability_tusk_ice_shards"	"Ice Shards"

"ability_tusk_ice_shards_Description"	"Герой сжимает осколки льда в шар холодной энергии, который наносит урон всем задетым врагам. Когда шар достигнет точки назначения, осколки высвободятся, создавая барьер на %shard_duration% сек."
"[english]ability_tusk_ice_shards_Description"	"Tusk compresses shards of ice into a ball of frozen energy that damages all enemies it comes in contact with. When the ball reaches its target destination the shards are released, creating a barrier that lasts for %shard_duration% seconds."

"ability_tusk_ice_shards_shard_width"	"РАДИУС:"
"[english]ability_tusk_ice_shards_shard_width"	"RADIUS:"

"ability_tusk_ice_shards_shard_damage"	"УРОН:"
"[english]ability_tusk_ice_shards_shard_damage"	"SHARD DAMAGE:"

"ability_tusk_ice_shards_shard_duration"	"ДЛИТЕЛЬНОСТЬ БАРЬЕРА:"
"[english]ability_tusk_ice_shards_shard_duration"	"SHARD DURATION:"

"ability_tusk_snowball"	"Snowball"
"[english]ability_tusk_snowball"	"Snowball"

"ability_tusk_snowball_Description"	"Герой заворачивается в снежный ком. Союзников в радиусе %snowball_grab_radius% также можно поместить в ком, нажав на них правой кнопкой мыши, даже если ком уже движется. После запуска все враги на пути кома будут оглушены и получат урон. Чем больше в коме союзных героев, тем больше урон от него."
"[english]ability_tusk_snowball_Description"	"Tusk begins rolling into a snowball. Allies within a %snowball_grab_radius% radius can also be added to the snowball by right-clicking on them, even while the snowball is moving. Once launched, any enemies caught in the snowball's path will be stunned and take damage. Each allied Hero in the snowball will add to its damage."

"ability_tusk_snowball_snowball_damage"	"БАЗОВЫЙ УРОН:"
"[english]ability_tusk_snowball_snowball_damage"	"BASE DAMAGE:"

"ability_tusk_frozen_sigil"	"Frozen Sigil"
"[english]ability_tusk_frozen_sigil"	"Frozen Sigil"

"ability_tusk_frozen_sigil_Description"	"Герой призывает печать мороза, взывая к глубочайшему холоду зимы. Печать несёт с собой вьюгу, замедляющую всех врагов в радиусе 600."
"[english]ability_tusk_frozen_sigil_Description"	"Tusk summons a Frozen Sigil by calling upon the deepest cold of winter. The Sigil creates a snowstorm which slows all enemy units within 600 range."

"ability_tusk_frozen_sigil_sigil_radius"	"РАДИУС АУРЫ:"
"[english]ability_tusk_frozen_sigil_sigil_radius"	"AURA RADIUS:"

"ability_tusk_frozen_sigil_sigil_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_tusk_frozen_sigil_sigil_duration"	"DURATION:"

"ability_tusk_frozen_sigil_move_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_tusk_frozen_sigil_move_slow"	"%MOVEMENT SLOW:"

"ability_tusk_frozen_sigil_attack_slow"	"ЗАМЕДЛЕНИЕ АТАКИ:"
"[english]ability_tusk_frozen_sigil_attack_slow"	"ATTACK SLOW:"

"ability_tusk_walrus_punch"	"Walrus PUNCH!"
"[english]ability_tusk_walrus_punch"	"Walrus PUNCH!"

"ability_tusk_walrus_punch_Description"	"Герой совершает свой коронный удар — настолько мощный, что подбрасывает жертву в воздух, нанося ей критический урон. После приземления жертва будет замедлена."
"[english]ability_tusk_walrus_punch_Description"	"Tusk connects with his mighty Walrus Punch, a critical strike so powerful it launches its victim into the air. The victim is slowed upon landing."

"ability_tusk_walrus_punch_crit_multiplier"	"%КРИТИЧЕСКИЙ УРОН:"
"[english]ability_tusk_walrus_punch_crit_multiplier"	"%CRITICAL DAMAGE:"

"ability_tusk_walrus_punch_air_time"	"ВРЕМЯ В ВОЗДУХЕ:"
"[english]ability_tusk_walrus_punch_air_time"	"AIR TIME:"

"ability_tusk_walrus_punch_slow_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_tusk_walrus_punch_slow_duration"	"SLOW DURATION:"

"ability_visage_grave_chill_movespeed_bonus"	"%КРАЖА СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_visage_grave_chill_movespeed_bonus"	"%MOVE SPEED DRAIN:"

"ability_visage_grave_chill_attackspeed_bonus"	"КРАЖА СКОРОСТИ АТАКИ:"
"[english]ability_visage_grave_chill_attackspeed_bonus"	"ATTACK SPEED DRAIN:"

"ability_medusa_split_shot_Lore"	"Каждый, кто столкнётся с проклятой горгоной, испытает на себе её гнев."
"[english]ability_medusa_split_shot_Lore"	"All who encounter the cursed Gorgon will feel her rage."

"ability_medusa_mystic_snake_Lore"	"Величайшая сила горгоны — в её проклятии."
"[english]ability_medusa_mystic_snake_Lore"	"The Gorgon's curse is her greatest strength."

"ability_medusa_mana_shield_Lore"	"Несмотря на то что горгона не удостоилась бессмертия при рождении, проклятье наделило её великолепными защитными способностями."
"[english]ability_medusa_mana_shield_Lore"	"While Medusa was not gifted with eternal life upon birth, her curse bestowed her with impressive defensive powers."

"ability_medusa_stone_gaze_Lore"	"Такая красота поистине легендарна."
"[english]ability_medusa_stone_gaze_Lore"	"The beauty of Medusa is legendary."

"ability_medusa_stone_gaze_slow"	"%ЗАМЕДЛЕНИЕ:"
"[english]ability_medusa_stone_gaze_slow"	"%SLOW:"

"ability_medusa_stone_gaze_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_medusa_stone_gaze_duration"	"DURATION:"

"ability_skywrath_mage_arcane_bolt"	"Arcane Bolt"
"[english]ability_skywrath_mage_arcane_bolt"	"Arcane Bolt"

"ability_skywrath_mage_arcane_bolt_Description"	"Герой выпускает во врага медленный заряд магической энергии, который наносит урон, зависящий от интеллекта."
"[english]ability_skywrath_mage_arcane_bolt_Description"	"Skywrath Mage launches a slow-moving bolt of arcane magic, dealing damage to an enemy unit based on Skywrath Mage's intelligence."

"ability_skywrath_mage_arcane_bolt_Lore"	"Среди бесконечных интриг Жуткого гнезда лишь умный и спокойный может надеяться на выживание."
"[english]ability_skywrath_mage_arcane_bolt_Lore"	"Within the Ghastly Eyrie's endless intrigue, only the clever and calm can hope to survive."

"ability_skywrath_mage_arcane_bolt_bolt_damage"	"БАЗОВЫЙ УРОН:"
"[english]ability_skywrath_mage_arcane_bolt_bolt_damage"	"BASE DAMAGE:"

"ability_skywrath_mage_arcane_bolt_int_multiplier"	"МНОЖИТЕЛЬ ИНТЕЛЛЕКТА:"
"[english]ability_skywrath_mage_arcane_bolt_int_multiplier"	"INT DAMAGE MULTIPLIER:"

"ability_skywrath_mage_concussive_shot"	"Concussive Shot"
"[english]ability_skywrath_mage_concussive_shot"	"Concussive Shot"

"ability_skywrath_mage_concussive_shot_Description"	"Делает выстрел по ближайшему вражескому герою в большой области. При попадании наносит урон врагам в области действия и замедляет их."
"[english]ability_skywrath_mage_concussive_shot_Description"	"Skywrath Mage sets off a long range shot that hits the closest hero within a long range.  Upon impact, it deals damage and slows in an area of effect."

"ability_skywrath_mage_concussive_shot_Lore"	"Те, кто служат при дворе Жуткого гнезда, вечно участвуют в скрытой борьбе. Важно всегда знать, где скрывается опасность."
"[english]ability_skywrath_mage_concussive_shot_Lore"	"Those who serve the court of the Ghastly Eyrie are ever locked in covert war. One must always know where danger lurks nearest."

"ability_skywrath_mage_concussive_shot_launch_radius"	"ДАЛЬНОСТЬ ВЫСТРЕЛА:"
"[english]ability_skywrath_mage_concussive_shot_launch_radius"	"SHOT RANGE:"

"ability_skywrath_mage_concussive_shot_slow_radius"	"РАДИУС УРОНА:"
"[english]ability_skywrath_mage_concussive_shot_slow_radius"	"DAMAGE RADIUS:"

"ability_skywrath_mage_concussive_shot_damage"	"УРОН:"
"[english]ability_skywrath_mage_concussive_shot_damage"	"DAMAGE:"

"ability_skywrath_mage_concussive_shot_slow_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_skywrath_mage_concussive_shot_slow_duration"	"SLOW DURATION:"

"ability_skywrath_mage_concussive_shot_movement_speed_pct"	"%ЗАМЕДЛЕНИЕ:"
"[english]ability_skywrath_mage_concussive_shot_movement_speed_pct"	"%SLOW:"

"ability_skywrath_mage_ancient_seal"	"Ancient Seal"
"[english]ability_skywrath_mage_ancient_seal"	"Ancient Seal"

"ability_skywrath_mage_ancient_seal_Description"	"Оставляет печать древней руны на выбранном существе, запрещая ему применять способности и увеличивая магический урон по нему."
"[english]ability_skywrath_mage_ancient_seal_Description"	"Skywrath Mage seals the targeted unit with an ancient rune, silencing it and causing it to take additional damage from spells."

"ability_skywrath_mage_ancient_seal_Lore"	"Всякий, кого коснётся священная печать Авилливы, должен перенести тягостное молчание."
"[english]ability_skywrath_mage_ancient_seal_Lore"	"A holy incantation, whosoever finds themselves touched by Avilliva's sigil must suffer in penitent silence."

"ability_skywrath_mage_ancient_seal_resist_debuff"	"%ДОП. МАГИЧЕСКИЙ УРОН:"
"[english]ability_skywrath_mage_ancient_seal_resist_debuff"	"%INCREASED MAGIC DAMAGE:"

"ability_skywrath_mage_ancient_seal_seal_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_skywrath_mage_ancient_seal_seal_duration"	"DURATION:"

"ability_skywrath_mage_mystic_flare"	"Mystic Flare"
"[english]ability_skywrath_mage_mystic_flare"	"Mystic Flare"

"ability_skywrath_mage_mystic_flare_Description"	"Герой создаёт направленное поле сверхъестественной силы, сокрушая врагов. Поле наносит огромный урон, который равномерно распределяется между героями в области действия в течение %duration% сек.\n\nУлучшается с Aghanim's Scepter."
"[english]ability_skywrath_mage_mystic_flare_Description"	"Skywrath Mage uses his ultimate magical ability to conjure a precise and violent mystical field that lays waste to his adversaries. Deals massive damage distributed evenly among any Heroes in the area over %duration% seconds.\n\nUpgradable by Aghanim's Scepter."

"ability_skywrath_mage_mystic_flare_Lore"	"Только самые опытные маги скайрасов могут разверзнуть в небесах такую бурю."
"[english]ability_skywrath_mage_mystic_flare_Lore"	"Only the most practiced of Skywrath sorcerers could hope to shape the skies into such a storm."

"ability_skywrath_mage_mystic_flare_radius"	"РАДИУС:"
"[english]ability_skywrath_mage_mystic_flare_radius"	"RADIUS:"

"ability_skywrath_mage_mystic_flare_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_skywrath_mage_mystic_flare_duration"	"DURATION:"

"ability_skywrath_mage_mystic_flare_damage"	"УРОН:"
"[english]ability_skywrath_mage_mystic_flare_damage"	"DAMAGE:"

"ability_troll_warlord_whirling_axes_melee_whirl_duration"	"ДЛИТЕЛЬНОСТЬ ВРАЩЕНИЯ:"
"[english]ability_troll_warlord_whirling_axes_melee_whirl_duration"	"WHIRL DURATION:"

"ability_abaddon_death_coil"	"Mist Coil"
"[english]ability_abaddon_death_coil"	"Mist Coil"

"ability_abaddon_death_coil_Description"	"Ценой собственного здоровья выпускает смертельный туман, который наносит урон врагу или лечит союзника."
"[english]ability_abaddon_death_coil_Description"	"Abaddon releases a coil of deathly mist that can damage an enemy unit or heal a friendly unit at the cost of some of Abaddon's health."

"ability_abaddon_death_coil_target_damage"	"УРОН/ЛЕЧЕНИЕ:"
"[english]ability_abaddon_death_coil_target_damage"	"DAMAGE/HEAL:"

"ability_abaddon_death_coil_self_damage"	"УРОН ПО СЕБЕ:"
"[english]ability_abaddon_death_coil_self_damage"	"SELF DAMAGE:"

"ability_abaddon_aphotic_shield"	"Aphotic Shield"
"[english]ability_abaddon_aphotic_shield"	"Aphotic Shield"

"ability_abaddon_aphotic_shield_Description"	"Окружает союзника щитом из тёмной энергии, который поглощает некоторое количество урона. Если щит пропадёт или его уничтожат, он взорвётся и нанесёт врагам вокруг урон, равный здоровью щита. Применение снимает с цели оглушение и большинство отрицательных эффектов.\n\nТИП РАЗВЕИВАНИЯ: сильное"
"[english]ability_abaddon_aphotic_shield_Description"	"Summons dark energies around an ally unit, creating a shield that absorbs a set amount of damage before expiring. When the shield is destroyed it will burst and deal damage equal to the amount it could absorb to an area around it. Removes certain types of negative buffs and stuns on cast.\n\nDISPEL TYPE: Strong Dispel"

"ability_abaddon_aphotic_shield_duration"	"ДЛИТЕЛЬНОСТЬ:"
"[english]ability_abaddon_aphotic_shield_duration"	"DURATION:"

"ability_abaddon_aphotic_shield_damage_absorb"	"ЗДОРОВЬЕ ЩИТА:"
"[english]ability_abaddon_aphotic_shield_damage_absorb"	"MAX DAMAGE ABSORBED:"

"ability_abaddon_aphotic_shield_radius"	"РАДИУС ВЗРЫВА:"
"[english]ability_abaddon_aphotic_shield_radius"	"BURST RADIUS:"

"ability_abaddon_frostmourne"	"Curse of Avernus"
"[english]ability_abaddon_frostmourne"	"Curse of Avernus"

"ability_abaddon_frostmourne_Description"	"Атаки героя замедляют передвижение жертвы. Если атаковать врага %hit_count% раза, его окутают ледяные чары: они накладывают безмолвие и замедление, а все атакующие этого врага существа получают дополнительную скорость атаки."
"[english]ability_abaddon_frostmourne_Description"	"Abaddon strikes an enemy, slowing the target's movement speed. If the target gets hit %hit_count% times, they become affected by a chilling curse causing them to be silenced and slowed, and all attacks against them gain an attack speed boost."

"ability_abaddon_frostmourne_Lore"	"Проклятье, что замедлит врага и поторопит союзника."
"[english]ability_abaddon_frostmourne_Lore"	"The curse that slows an enemy, speeds an ally."

"ability_abaddon_frostmourne_debuff_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"[english]ability_abaddon_frostmourne_debuff_duration"	"DEBUFF DURATION:"

"ability_abaddon_frostmourne_buff_duration"	"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
"[english]ability_abaddon_frostmourne_buff_duration"	"BUFF DURATION:"

"ability_abaddon_frostmourne_slow_pct"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"[english]ability_abaddon_frostmourne_slow_pct"	"%MOVEMENT SLOW:"

"ability_abaddon_frostmourne_attack_speed"	"ДОП. СКОРОСТЬ АТАКИ:"
"[english]ability_abaddon_frostmourne_attack_speed"	"ATTACK SPEED BONUS:"

