\\ Названия всех модифайеров \\
\\ Обновлено 29.05.2019; Патч 7.22b \\

"modifier_life_stealer_infest"	"Паразитирует носителя"

"modifier_greevil_decrepify"	"Decrepify"
"[english]modifier_greevil_decrepify"	"Decrepify"

"modifier_greevil_maledict"	"Maledict"
"[english]modifier_greevil_maledict"	"Maledict"

"modifier_greevil_shadow_strike"	"Shadow Strike"
"[english]modifier_greevil_shadow_strike"	"Shadow Strike"

"modifier_greevil_poison_nova"	"Poison Nova"
"[english]modifier_greevil_poison_nova"	"Poison Nova"

"modifier_greevil_ice_wall_slow_debuff"	"Ice Wall"
"[english]modifier_greevil_ice_wall_slow_debuff"	"Ice Wall"

"modifier_greevil_fatal_bonds"	"Fatal Bonds"
"[english]modifier_greevil_fatal_bonds"	"Fatal Bonds"

"modifier_greevil_blade_fury"	"Blade Fury"
"[english]modifier_greevil_blade_fury"	"Blade Fury"

"modifier_greevil_phantom_strike"	"Phantom Strike"
"[english]modifier_greevil_phantom_strike"	"Phantom Strike"

"modifier_greevil_time_lock_freeze"	"Time Lock"
"[english]modifier_greevil_time_lock_freeze"	"Time Lock"

"modifier_greevil_leech_seed"	"Leech Seed"
"[english]modifier_greevil_leech_seed"	"Leech Seed"

"modifier_greevil_natures_attendants"	"Nature's Attendants"
"[english]modifier_greevil_natures_attendants"	"Nature's Attendants"

"modifier_greevil_bloodlust"	"Bloodlust"
"[english]modifier_greevil_bloodlust"	"Bloodlust"

"modifier_greevil_flesh_golem"	"Flesh Golem"
"[english]modifier_greevil_flesh_golem"	"Flesh Golem"

"modifier_greevil_flesh_golem_plague_aura"	"Flesh Golem Plague"
"[english]modifier_greevil_flesh_golem_plague_aura"	"Flesh Golem Plague"

"modifier_greevil_meat_hook"	"Hook"
"[english]modifier_greevil_meat_hook"	"Hook"

"modifier_greevil_rot"	"Rot"
"[english]modifier_greevil_rot"	"Rot"

"modifier_greevil_black_hole_pull"	"Засасывается"
"[english]modifier_greevil_black_hole_pull"	"Pulled"

"modifier_ice_slide"	"Катится по льду"
"[english]modifier_ice_slide"	"Sliding on the ice"

"modifier_winter_healing"	"Восстанавливает здоровье и ману."
"[english]modifier_winter_healing"	"Healing health and mana."

"modifier_greevil_miniboss_black_nightmare"	"Greevilmare"
"[english]modifier_greevil_miniboss_black_nightmare"	"Greevilmare"

"modifier_greevil_miniboss_black_nightmare_Description"	"Усыпляет врага и наносит 20 единиц урона ежесекундно. Заклинание перейдет на любого, кто нападет на вас."
"[english]modifier_greevil_miniboss_black_nightmare_Description"	"Puts enemies to sleep and inflicts 20 damage every second. Greevilmare transfers to any unit that attacks you."

"modifier_greevil_miniboss_blue_cold_feet"	"Cold Greevil Feet"
"[english]modifier_greevil_miniboss_blue_cold_feet"	"Cold Greevil Feet"

"modifier_greevil_miniboss_blue_cold_feet_Description"	"Получает урон со временем, будет приморожен к месту, если не отойдет достаточно далеко."
"[english]modifier_greevil_miniboss_blue_cold_feet_Description"	"Taking periodic damage, if you don't move you will be frozen in place"

"modifier_greevil_miniboss_blue_coldfeet_freeze"	"Заморожен"
"[english]modifier_greevil_miniboss_blue_coldfeet_freeze"	"Frozen"

"modifier_greevil_miniboss_blue_coldfeet_freeze_Description"	"Заморожен."
"[english]modifier_greevil_miniboss_blue_coldfeet_freeze_Description"	"Frozen."

"modifier_greevil_miniboss_blue_ice_vortex"	"Ice Greevortex"
"[english]modifier_greevil_miniboss_blue_ice_vortex"	"Ice Greevortex"

"modifier_greevil_miniboss_blue_ice_vortex_Description"	"Замедлен, получает дополнительный урон от магии."
"[english]modifier_greevil_miniboss_blue_ice_vortex_Description"	"Slowed, will take additional damage from magic"

"modifier_greevil_miniboss_red_earthshock"	"Greevilshock"
"[english]modifier_greevil_miniboss_red_earthshock"	"Greevilshock"

"modifier_greevil_miniboss_red_earthshock_Description"	"Замедлен на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
"[english]modifier_greevil_miniboss_red_earthshock_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"modifier_greevil_miniboss_red_overpower"	"Greevilpower"
"[english]modifier_greevil_miniboss_red_overpower"	"Greevilpower"

"modifier_greevil_miniboss_red_overpower_Description"	"Атакует с максимальной скоростью!"
"[english]modifier_greevil_miniboss_red_overpower_Description"	"Attacking at maximum speed!"

"modifier_greevil_miniboss_yellow_ion_shell"	"Greevil Shell"
"[english]modifier_greevil_miniboss_yellow_ion_shell"	"Greevil Shell"

"modifier_greevil_miniboss_yellow_ion_shell_Description"	"Наносит урон находящимся недалеко врагам"
"[english]modifier_greevil_miniboss_yellow_ion_shell_Description"	"Doing damage to nearby enemies"

"modifier_greevil_miniboss_yellow_surge"	"Greevil Surge"
"[english]modifier_greevil_miniboss_yellow_surge"	"Greevil Surge"

"modifier_greevil_miniboss_yellow_surge_Description"	"Передвигается на максимальной скорости"
"[english]modifier_greevil_miniboss_yellow_surge_Description"	"Moving at maximum move speed"

"modifier_greevil_miniboss_white_degen_aura_effect"	"Degreevil Aura"
"[english]modifier_greevil_miniboss_white_degen_aura_effect"	"Degreevil Aura"

"modifier_greevil_miniboss_white_degen_aura_effect_Description"	"Скорость передвижения и атаки снижены на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_greevil_miniboss_white_degen_aura_effect_Description"	"Movement and attack speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_greevil_miniboss_purple_venomous_gale"	"Venomous Greevil Spit"
"[english]modifier_greevil_miniboss_purple_venomous_gale"	"Venomous Greevil Spit"

"modifier_greevil_miniboss_purple_venomous_gale_Description"	"Замедлен и получает %dMODIFIER_PROPERTY_TOOLTIP% периодического урона."
"[english]modifier_greevil_miniboss_purple_venomous_gale_Description"	"Slowing and ticking for %dMODIFIER_PROPERTY_TOOLTIP% damage."

"modifier_greevil_miniboss_green_living_armor"	"Greeviling Armor"
"[english]modifier_greevil_miniboss_green_living_armor"	"Greeviling Armor"

"modifier_greevil_miniboss_green_living_armor_Description"	"Восстановление здоровья увеличено на %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%.\nБлокирует %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% получаемого урона."
"[english]modifier_greevil_miniboss_green_living_armor_Description"	"Health regen increased by %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%.\nBlocking %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% damage."

"modifier_greevil_miniboss_green_overgrowth"	"Greevil Overgrowth"
"[english]modifier_greevil_miniboss_green_overgrowth"	"Greevil Overgrowth"

"modifier_greevil_miniboss_green_overgrowth_Description"	"Не может двигаться, атаковать или телепортироваться."
"[english]modifier_greevil_miniboss_green_overgrowth_Description"	"Cannot move, attack, or blink."

"modifier_tusk_frozen_sigil"	"Frozen Sigil"
"[english]modifier_tusk_frozen_sigil"	"Frozen Sigil"

"modifier_tusk_frozen_sigil_Description"	"Скорость атаки замедлена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, скорость передвижения замедлена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_tusk_frozen_sigil_Description"	"Attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_tusk_frozen_sigil_aura"	"Frozen Sigil"
"[english]modifier_tusk_frozen_sigil_aura"	"Frozen Sigil"

"modifier_tusk_frozen_sigil_aura_Description"	"Скорость атаки и передвижения ближайших врагов замедлены."
"[english]modifier_tusk_frozen_sigil_aura_Description"	"Slowing nearby enemy attack and movement speed."

"modifier_tusk_walrus_punch"	"Walrus Punch"
"[english]modifier_tusk_walrus_punch"	"Walrus Punch"

"modifier_tusk_walrus_punch_Description"	"Следующий враг будет подброшен!"
"[english]modifier_tusk_walrus_punch_Description"	"Next unit will get punched!"

"modifier_tusk_walrus_punch_slow"	"Под действием Walrus Punch"
"[english]modifier_tusk_walrus_punch_slow"	"Walrus Punched"

"modifier_bristleback_viscous_nasal_goo"	"Viscous Nasal Goo"
"[english]modifier_bristleback_viscous_nasal_goo"	"Viscous Nasal Goo"

"modifier_bristleback_viscous_nasal_goo_Description"	"Теряет %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% брони и замедляется на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_bristleback_viscous_nasal_goo_Description"	"Losing %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor and slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_bristleback_warpath"	"Warpath"
"[english]modifier_bristleback_warpath"	"Warpath"

"modifier_bristleback_warpath_Description"	"Передвигается на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% быстрее и наносит на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% больше урона."
"[english]modifier_bristleback_warpath_Description"	"Moving %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% faster and dealing %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage."

"modifier_troll_warlord_whirling_axes_blind"	"Ослепление от Whirling Axes"
"[english]modifier_troll_warlord_whirling_axes_blind"	"Whirling Axes Blind"

"modifier_troll_warlord_whirling_axes_blind_Description"	"Ослеплен, имеет шанс промахнуться в %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%%."
"[english]modifier_troll_warlord_whirling_axes_blind_Description"	"Blinded, have a %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% chance to miss."

"modifier_tusk_walrus_punch_slow_Description"	"Замедлен на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_tusk_walrus_punch_slow_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_abaddon_borrowed_time"	"Borrowed Time"
"[english]modifier_abaddon_borrowed_time"	"Borrowed Time"

"modifier_abaddon_borrowed_time_Description"	"Полученный урон лечит вместо нанесения вреда."
"[english]modifier_abaddon_borrowed_time_Description"	"All damage taken by Abaddon heals him instead."

"modifier_abaddon_aphotic_shield"	"Aphotic Shield"
"[english]modifier_abaddon_aphotic_shield"	"Aphotic Shield"

"modifier_abaddon_aphotic_shield_Description"	"Поглощает урон; при поглощении максимального урона, взрывается и наносит урон по области."
"[english]modifier_abaddon_aphotic_shield_Description"	"Absorbing damage; upon absorbing the max damage, explodes and deals damage in an area."

"modifier_abaddon_frostmourne_debuff"	"Curse of Avernus"
"[english]modifier_abaddon_frostmourne_debuff"	"Curse of Avernus"

"modifier_abaddon_frostmourne_debuff_Description"	"Существо замедлено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_abaddon_frostmourne_debuff_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_abaddon_frostmourne_buff"	"Curse of Avernus"
"[english]modifier_abaddon_frostmourne_buff"	"Curse of Avernus"

"modifier_abaddon_frostmourne_buff_Description"	"Передвижение ускорено. Атака ускорена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_abaddon_frostmourne_buff_Description"	"Gaining bonus movement speed, and %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed."

"modifier_batrider_flaming_lasso_self"	"Бессилие от Flaming Lasso"
"[english]modifier_batrider_flaming_lasso_self"	"Flaming Lasso Disarm"

"modifier_batrider_flaming_lasso_self_Description"	"Не может атаковать, пока используется Flaming Lasso."
"[english]modifier_batrider_flaming_lasso_self_Description"	"Cannot attack while Lasso is active."

"modifier_elder_titan_echo_stomp"	"Echo Stomp"
"[english]modifier_elder_titan_echo_stomp"	"Echo Stomp"

"modifier_elder_titan_echo_stomp_Description"	"Был усыплен Elder Titan."
"[english]modifier_elder_titan_echo_stomp_Description"	"Knocked asleep by Elder Titan."

"modifier_elder_titan_ancestral_spirit_buff"	"Усиление от Astral Titan"
"[english]modifier_elder_titan_ancestral_spirit_buff"	"Astral Titan Buff"

"modifier_elder_titan_ancestral_spirit_buff_Description"	"Получает %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% скорости передвижения и %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% дополнительного урона к атакам."
"[english]modifier_elder_titan_ancestral_spirit_buff_Description"	"Gaining %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% bonus movement speed, and %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage."

"modifier_elder_titan_natural_order"	"Natural Order"
"[english]modifier_elder_titan_natural_order"	"Natural Order"

"modifier_elder_titan_natural_order_Description"	"Снижает базовые сопротивление магии и броню на %dMODIFIER_PROPERTY_TOOLTIP%%%."
"[english]modifier_elder_titan_natural_order_Description"	"Reducing base magic damage resistance and armor by %dMODIFIER_PROPERTY_TOOLTIP%%%."

"modifier_elder_titan_earth_splitter"	"Earth Splitter"
"[english]modifier_elder_titan_earth_splitter"	"Earth Splitter"

"modifier_elder_titan_earth_splitter_Description"	"Замедляет на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_elder_titan_earth_splitter_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_razor_unstablecurrent_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_razor_unstablecurrent_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_skywrath_mage_concussive_shot_slow"	"Concussive Shot"
"[english]modifier_skywrath_mage_concussive_shot_slow"	"Concussive Shot"

"modifier_skywrath_mage_concussive_shot_slow_Description"	"Замедлен на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_skywrath_mage_concussive_shot_slow_Description"	"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_skywrath_mage_ancient_seal"	"Ancient Seal"
"[english]modifier_skywrath_mage_ancient_seal"	"Ancient Seal"

"modifier_skywrath_mage_ancient_seal_Description"	"Обезмолвлен; магический урон увеличен на %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
"[english]modifier_skywrath_mage_ancient_seal_Description"	"Silenced and magic damage increased by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."

"modifier_legion_commander_overwhelming_odds"	"Overwhelming Odds"
"[english]modifier_legion_commander_overwhelming_odds"	"Overwhelming Odds"

"modifier_legion_commander_overwhelming_odds_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_legion_commander_overwhelming_odds_Description"	"Gaining %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% movement speed."

"modifier_legion_commander_press_the_attack"	"Press the Attack"
"[english]modifier_legion_commander_press_the_attack"	"Press the Attack"

"modifier_legion_commander_press_the_attack_Description"	"Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, скорость восстановления здоровья увеличена на %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%."
"[english]modifier_legion_commander_press_the_attack_Description"	"Gaining %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed and %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP regen."

"modifier_legion_commander_duel"	"Duel"
"[english]modifier_legion_commander_duel"	"Duel"

"modifier_legion_commander_duel_Description"	"Не выходит из дуэли, пока та не закончится или не умрет противник."
"[english]modifier_legion_commander_duel_Description"	"Dueling until opponent dies or the effect ends."

"modifier_legion_commander_duel_damage_boost"	"Урон за дуэли"
"[english]modifier_legion_commander_duel_damage_boost"	"Duel Victory Damage"

"modifier_legion_commander_duel_damage_boost_Description"	"Урон героя увеличен за победу на дуэлях."
"[english]modifier_legion_commander_duel_damage_boost_Description"	"Gaining bonus damage permanently from won duels."

"modifier_elder_titan_ancestral_spirit"	"Astral Spirit"
"[english]modifier_elder_titan_ancestral_spirit"	"Astral Spirit"

"modifier_medusa_stone_gaze_stone"	"Stone Gaze"
"[english]modifier_medusa_stone_gaze_stone"	"Stone Gaze"

"modifier_medusa_stone_gaze_stone_Description"	"Превращен в камень. Оглушен. Получает полное сопротивление магическому урону и %dMODIFIER_PROPERTY_INCOMING_PHYSICAL_DAMAGE_PERCENTAGE%%% дополнительного физического урона от врагов."
"[english]modifier_medusa_stone_gaze_stone_Description"	"Turned to stone.  Stunned, 100%% magic damage resistance, and taking %dMODIFIER_PROPERTY_INCOMING_PHYSICAL_DAMAGE_PERCENTAGE%%% extra physical damage."

"modifier_venomancer_poison_sting_ward"	"Poison Sting"
"[english]modifier_venomancer_poison_sting_ward"	"Poison Sting"

"modifier_venomancer_poison_sting_ward_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Получает %dMODIFIER_PROPERTY_TOOLTIP% периодического урона."
"[english]modifier_venomancer_poison_sting_ward_Description"	"Slowing by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and ticking for %dMODIFIER_PROPERTY_TOOLTIP% damage."

"modifier_nightstalker_darkness_blind"	"Darkness"
"[english]modifier_nightstalker_darkness_blind"	"Darkness"

"modifier_nightstalker_darkness_blind_Description"	"Снижает дальность обзора."
"[english]modifier_nightstalker_darkness_blind_Description"	"Causes you to have reduced vision."

"modifier_silencer_int_steal"	"Украденный интеллект"
"[english]modifier_silencer_int_steal"	"Stolen Intelligence"

"modifier_silencer_int_steal_Description"	"Silencer навсегда крадет 2 единицы интеллекта у любого вражеского героя, который умирает в радиусе 925."
"[english]modifier_silencer_int_steal_Description"	"Silencer will permanently steal 2 Intelligence from any enemy hero he kills, and any enemy hero that dies within 925 range."

"modifier_lich_frostarmor_slow"	"Морозное замедление"
"[english]modifier_lich_frostarmor_slow"	"Freezing Slow"

"modifier_lich_frostarmor_slow_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_lich_frostarmor_slow_Description"	"Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"

"modifier_buyback_gold_penalty"	"Штраф золотом за выкуп"
"[english]modifier_buyback_gold_penalty"	"Buyback Gold Penalty"

"modifier_buyback_gold_penalty_Description"	"Доход золота уменьшен на 60%%."
"[english]modifier_buyback_gold_penalty_Description"	"All gold earnings reduced by 60%%."

"modifier_ember_spirit_searing_chains"	"Searing Chains"
"[english]modifier_ember_spirit_searing_chains"	"Searing Chains"

"modifier_ember_spirit_searing_chains_Description"	"Зажат на месте способностью Searing Chains. Не может двигаться или телепортироваться, получает периодический урон."
"[english]modifier_ember_spirit_searing_chains_Description"	"Locked in place by Searing Chains.  Cannot blink or move, taking damage per second."

"modifier_ember_spirit_flame_guard"	"Flame Guard"
"[english]modifier_ember_spirit_flame_guard"	"Flame Guard"

"modifier_ember_spirit_flame_guard_Description"	"Поглощает магический урон и наносит магический урон в зоне действия."
"[english]modifier_ember_spirit_flame_guard_Description"	"Absorbing magic damage, and dealing magic damage in an area of effect."

"modifier_ember_spirit_fire_remnant_charge_counter"	"Зарядов Fire Remnant"
"[english]modifier_ember_spirit_fire_remnant_charge_counter"	"Fire Remnant Charges"

"modifier_ember_spirit_fire_remnant_charge_counter_Description"	"Копию можно разместить, если у вас есть заряды."
"[english]modifier_ember_spirit_fire_remnant_charge_counter_Description"	"You may activate a Fire Remnant whenever there is a charge available."

"modifier_ember_spirit_fire_remnant"	"Fire Remnant"
"[english]modifier_ember_spirit_fire_remnant"	"Fire Remnant"

"modifier_ember_spirit_fire_remnant_Description"	"Летит к своей копии."
"[english]modifier_ember_spirit_fire_remnant_Description"	"Charging to a Fire Remnant."

"modifier_earth_spirit_stone_caller_charge_counter"	"Зарядов Stone Remnant"
"[english]modifier_earth_spirit_stone_caller_charge_counter"	"Stone Remnant Charges"

"modifier_earth_spirit_stone_caller_charge_counter_Description"	"Вы можете разместить Stone Remnant, если у вас имеются доступные заряды. Со временем заряды медленно восстанавливаются."
"[english]modifier_earth_spirit_stone_caller_charge_counter_Description"	"You can only place a Stone Remnant when you have a charge available.  Charges slowly restore over time."

"modifier_earth_spirit_boulder_smash_silence"	"Обезмолвливание от Boulder Smash"
"[english]modifier_earth_spirit_boulder_smash_silence"	"Boulder Smash Silence"

"modifier_earth_spirit_boulder_smash_silence_Description"	"Обезмолвлен камнем Earth Spirit."
"[english]modifier_earth_spirit_boulder_smash_silence_Description"	"Silenced by a Stone from Earth Spirit."

"modifier_earth_spirit_rolling_boulder_caster"	"Rolling Boulder"
"[english]modifier_earth_spirit_rolling_boulder_caster"	"Rolling Boulder"

"modifier_earth_spirit_rolling_boulder_slow"	"Замедление от Rolling Boulder"
"[english]modifier_earth_spirit_rolling_boulder_slow"	"Rolling Boulder Slow"

"modifier_earth_spirit_rolling_boulder_slow_Description"	"Под действием способности Rolling Boulder, скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."
"[english]modifier_earth_spirit_rolling_boulder_slow_Description"	"Hit by Earth Spirit's Rolling Boulder, movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%."

"modifier_earth_spirit_geomagnetic_grip"	"Geomagnetic Grip"
"[english]modifier_earth_spirit_geomagnetic_grip"	"Geomagnetic Grip"

"modifier_earth_spirit_geomagnetic_grip_Description"	"Притягивается к Earth Spirit."
"[english]modifier_earth_spirit_geomagnetic_grip_Description"	"Being pulled to Earth Spirit."

"modifier_earth_spirit_magnetize"	"Magnetize"
"[english]modifier_earth_spirit_magnetize"	"Magnetize"

"modifier_earth_spirit_magnetize_Description"	"Намагничен Earth Spirit и получает урон каждую секунду. Нахождение рядом с камнями Earth Spirit подожжет их, намагничивая всех вражеских героев рядом и запуская способность заново."
"[english]modifier_earth_spirit_magnetize_Description"	"Magnetized by Earth Spirit and taking damage per second.  Moving near one of Earth Spirit's stones will ignite the stone, Magnetizing all nearby enemy heroes and refreshing the debuff."

"modifier_abyssal_underlord_firestorm_burn"	"Firestorm"
"[english]modifier_abyssal_underlord_firestorm_burn"	"Firestorm"

"modifier_abyssal_underlord_firestorm_burn_Description"	"Получает периодический урон."
"[english]modifier_abyssal_underlord_firestorm_burn_Description"	"Taking damage over time."

"modifier_abyssal_underlord_pit_of_malice_ensare"	"Pit of Malice"
"[english]modifier_abyssal_underlord_pit_of_malice_ensare"	"Pit of Malice"

"modifier_abyssal_underlord_pit_of_malice_ensare_Description"	"Пойман в ловушку способностью Pit of Malice, не может двигаться или телепортироваться."
"[english]modifier_abyssal_underlord_pit_of_malice_ensare_Description"	"Ensnared by Pit of Malice, cannot move or blink."

"modifier_abyssal_underlord_atrophy_aura"	"Atrophy Aura"
"[english]modifier_abyssal_underlord_atrophy_aura"	"Atrophy Aura"

"modifier_abyssal_underlord_atrophy_aura_Description"	"Понижает урон близстоящих врагов."
"[english]modifier_abyssal_underlord_atrophy_aura_Description"	"Reducing the damage of nearby enemies."

"modifier_abyssal_underlord_atrophy_aura_effect"	"Atrophy Aura"
"[english]modifier_abyssal_underlord_atrophy_aura_effect"	"Atrophy Aura"

"modifier_abyssal_underlord_atrophy_aura_effect_Description"	"Урон снижен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
"[english]modifier_abyssal_underlord_atrophy_aura_effect_Description"	"Damage reduced by %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."

"modifier_roshan_spell_block_Description"	"Рошан будет блокировать одну направленную способность каждые 15 секунд."
"[english]modifier_roshan_spell_block_Description"	"Roshan will block one targeted spell every 15 seconds."

"modifier_roshan_devotion_Description"	"Получает меньше урона от атак иллюзий, имеет сопротивление магии в 55%% и %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% дополнительной брони. Броня увеличивается со временем."
"[english]modifier_roshan_devotion_Description"	"55%% magic damage resistance, the ability to reduce damage from attacking illusions, and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% bonus armor. The armor bonus increases over time."

"modifier_roshan_halloween_levels"	"Уровень Рошана"
"[english]modifier_roshan_halloween_levels"	"Roshan's level"

"modifier_roshan_halloween_levels_Description"	"Текущий уровень Рошана"
"[english]modifier_roshan_halloween_levels_Description"	"Roshan's current level"

"modifier_roshan_sugar_rush_start_delay"	"Ожидание"
"[english]modifier_roshan_sugar_rush_start_delay"	"Waiting"

"modifier_roshan_sugar_rush_start_delay_Description"	"Рошан ждет, пока его жертва нанесет первый удар!"
"[english]modifier_roshan_sugar_rush_start_delay_Description"	"Roshan is waiting for a victim to attack!"

"modifier_bristleback_quill_spray"	"Quill Spray"
"[english]modifier_bristleback_quill_spray"	"Quill Spray"

"modifier_bristleback_quill_spray_Description"	"Каждый эффект увеличивает урон от Quill Spray"
"[english]modifier_bristleback_quill_spray_Description"	"Each stack increases damage taken from Quill Spray"

"modifier_phoenix_icarus_dive_burn"	"Ожог от Icarus Dive"
"[english]modifier_phoenix_icarus_dive_burn"	"Icarus Dive Burn"

"modifier_phoenix_icarus_dive_burn_Description"	"Получает %dMODIFIER_PROPERTY_TOOLTIP% урона в секунду, скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"[english]modifier_phoenix_icarus_dive_burn_Description"	"Taking %dMODIFIER_PROPERTY_TOOLTIP% damage per second and movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"modifier_phoenix_fire_spirit_burn"	"Ожог от Fire Spirit"
"[english]modifier_phoenix_fire_spirit_burn"	"Fire Spirit Burn"

"modifier_phoenix_fire_spirit_burn_Description"	"Получает %dMODIFIER_PROPERTY_TOOLTIP% урона в секунду, скорость атаки снижена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
"[english]modifier_phoenix_fire_spirit_burn_Description"	"Taking %dMODIFIER_PROPERTY_TOOLTIP% damage per second and attack speed slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"modifier_phoenix_fire_spirit_count"	"Fire Spirits"
"[english]modifier_phoenix_fire_spirit_count"	"Fire Spirits"

"modifier_phoenix_fire_spirit_count_Description"	"Fire Spirits готовы к запуску."
"[english]modifier_phoenix_fire_spirit_count_Description"	"Fire Spirits ready to launch."

"modifier_phoenix_sun_ray"	"Sun Ray
"[english]modifier_phoenix_sun_ray"	"Sun Ray"

"modifier_phoenix_sun_ray_Description"	"Выпускает луч Sun Ray."
